approach,audio_name,customer_index,pred_start,pred_end,gt_start,gt_end,start_error_s,end_error_s,abs_start_error_s,abs_end_error_s,iou
approach_3_vad_diarization,Sample1KN.mp3,1,4.12,38.504,16.0,390.0,-11.879999999999999,-351.496,11.879999999999999,351.496,0.058318648284440756
approach_3_vad_diarization,Sample1KN.mp3,2,267.96,308.392,520.0,660.0,-252.04000000000002,-351.608,252.04000000000002,351.608,0.0
approach_3_vad_diarization,Sample2EN.mp3,1,17.848,209.0,18.0,390.0,-0.15200000000000102,-181.0,0.15200000000000102,181.0,0.5132311528622714
approach_3_vad_diarization,Sample2EN.mp3,2,526.232,623.72,525.0,921.0,1.231999999999971,-297.28,1.231999999999971,297.28,0.24618181818181833
approach_3_vad_diarization,sample3KN.mp3,1,56.344,213.416,0.0,142.0,56.344,71.416,56.344,71.416,0.4013569741725082
approach_3_vad_diarization,sample3KN.mp3,2,276.376,315.016,148.0,362.0,128.37599999999998,-46.98399999999998,128.37599999999998,46.98399999999998,0.1805607476635516
