audio_name,customer_index,start,end,duration,start_hms,end_hms,method,score,source_conversation_ids
Sample1KN.mp3,1,4.12,38.504,34.384,00:04.120,00:38.504,diarization_interaction_score,18.64,1
Sample1KN.mp3,2,267.96,308.392,40.432000000000016,04:27.960,05:08.392,diarization_interaction_score,18.456,5
Sample2EN.mp3,1,17.848,209.0,191.152,00:17.848,03:29.000,diarization_interaction_score,18.328,1
Sample2EN.mp3,2,526.232,623.72,97.48800000000006,08:46.232,10:23.720,diarization_interaction_score,17.578,7
sample3KN.mp3,1,56.344,213.416,157.072,00:56.344,03:33.416,diarization_interaction_score,17.989,2
sample3KN.mp3,2,276.376,315.016,38.64000000000004,04:36.376,05:15.016,diarization_interaction_score,18.338,5
