audio_name,customer_index,start,end,duration,start_hms,end_hms,method,score,source_conversation_ids
Sample1KN.mp3,1,267.992,308.392,40.39999999999998,04:27.992,05:08.392,whisperx_semantic_bridge_score,10.081,6
Sample1KN.mp3,2,580.952,626.472,45.51999999999998,09:40.952,10:26.472,whisperx_semantic_bridge_score,18.112,13
Sample2EN.mp3,1,17.848,413.832,395.984,00:17.848,06:53.832,whisperx_semantic_bridge_score,55.533,1|2|3|4
Sample2EN.mp3,2,529.176,645.672,116.49599999999998,08:49.176,10:45.672,whisperx_semantic_bridge_score,47.655,7|8|9
sample3KN.mp3,1,56.344,213.416,157.072,00:56.344,03:33.416,whisperx_semantic_bridge_score,16.64,2
sample3KN.mp3,2,227.384,269.32,41.93600000000001,03:47.384,04:29.320,whisperx_semantic_bridge_score,12.282,4
