approach,audio_name,customer_index,pred_start,pred_end,gt_start,gt_end,start_error_s,end_error_s,abs_start_error_s,abs_end_error_s,iou
approach_1_energy_baseline,Sample1KN.mp3,1,223.63,389.02,16.0,390.0,207.63,-0.9800000000000182,207.63,0.9800000000000182,0.4422192513368984
approach_1_energy_baseline,Sample1KN.mp3,2,513.31,659.61,520.0,660.0,-6.690000000000055,-0.38999999999998636,6.690000000000055,0.38999999999998636,0.9517349512577542
approach_1_energy_baseline,Sample2EN.mp3,1,18.04,105.55,18.0,390.0,0.03999999999999915,-284.45,0.03999999999999915,284.45,0.23524193548387096
approach_1_energy_baseline,Sample2EN.mp3,2,110.64,208.51,525.0,921.0,-414.36,-712.49,414.36,712.49,0.0
approach_1_energy_baseline,sample3KN.mp3,1,0.0,47.54,0.0,142.0,0.0,-94.46000000000001,0.0,94.46000000000001,0.3347887323943662
approach_1_energy_baseline,sample3KN.mp3,2,148.4,206.24,148.0,362.0,0.4000000000000057,-155.76,0.4000000000000057,155.76,0.2702803738317757
