audio_name,conversation_id,start,end,duration,num_regions,start_hms,end_hms,assigned_customer_index,is_selected_candidate,source_final_start,source_final_end,assignment_reason
Sample1KN.mp3,1,0.21,143.47,143.26,,00:00.210,02:23.470,,False,,,not_selected
Sample1KN.mp3,2,150.93,215.46,64.53,,02:30.930,03:35.460,,False,,,not_selected
Sample1KN.mp3,3,223.63,389.02,165.39,,03:43.630,06:29.020,1,True,223.63,389.02,selected_as_customer_1
Sample1KN.mp3,4,400.6,406.05,5.449999999999989,,06:40.600,06:46.050,,False,,,not_selected
Sample1KN.mp3,5,411.66,464.88,53.21999999999997,,06:51.660,07:44.880,,False,,,not_selected
Sample1KN.mp3,6,470.05,472.68,2.6299999999999955,,07:50.050,07:52.680,,False,,,not_selected
Sample1KN.mp3,7,478.26,481.85,3.590000000000032,,07:58.260,08:01.850,,False,,,not_selected
Sample1KN.mp3,8,493.63,505.0,11.370000000000005,,08:13.630,08:25.000,,False,,,not_selected
Sample1KN.mp3,9,513.31,659.61,146.30000000000007,,08:33.310,10:59.610,2,True,513.31,659.61,selected_as_customer_2
